"Wirtschaft";"Soll die staatliche Kontrolle über die Wirtschaft verstärkt werden, um die Krise zu bewältigen?",1,1,-1,0,-1
"Wirtschaft";"Soll der Staat die Industrie stärker unterstützen, um Arbeitsplätze zu schaffen?",1,-1,1,1,-1
"Wirtschaft";Soll der Einfluss der Gewerkschaften auf die Wirtschaft und die Arbeitsbedingungen ausgeweitet werden?,1,1,-1,-1,-1
"Wirtschaft";"Sollen Unternehmen verpflichtet werden, Mindestlöhne zu zahlen?",1,1,-1,-1,-1
Außenpolitik,Soll Deutschland seine Reparationszahlungen an die Siegermächte des Ersten Weltkriegs vollständig einstellen?,-1,0,1,-1,1
Außenpolitik,Soll der Versailler Vertrag grundlegend überarbeitet oder vollständig abgeschafft werden?,-1,1,1,-1,1
Militär,Soll Deutschland seine militärische Stärke wieder ausbauen?
Politische Macht,Soll die politische Macht des Reichspräsidenten durch Notverordnungen und Sonderrechte gestärkt werden?
Politische Macht,Soll der Reichstag (Parlament) die alleinige Entscheidungsgewalt in der Politik haben?
Gesellschaft,Sollen kommunistische Organisationen und Parteien verboten werden?
Gesellschaft,"Soll die Landwirtschaft stärker subventioniert werden, um die Versorgungssicherheit zu gewährleisten?
Gesellschaft,Soll die Eigentumsverteilung durch Enteignungen reformiert werden?
Strafrecht,Soll die Todesstrafe für schwerwiegende Verbrechen wieder eingeführt oder verstärkt angewendet werden?
Außenpolitik,Soll Deutschland sich von internationalen Bündnissen wie dem Völkerbund zurückziehen?
Pressefreiheit,"Soll der Staat die freie Presse stärker kontrollieren, um „schädliche Einflüsse“ zu verhindern?
Bildung,Soll das Schulsystem staatlich stärker zentralisiert und standardisiert werden?
Handwerk,Soll der Schutz und die Förderung des „deutschen Handwerks“ im Vergleich zur Industrie priorisiert werden?
Infrastruktur,Soll die Regierung Programme zur Arbeitsbeschaffung im Infrastrukturbereich verstärken?
Parteienverbot,"Sollen politische Organisationen oder Parteien, die gegen die Verfassung arbeiten, verboten werden?
Verfassung,Soll die Weimarer Verfassung beibehalten oder durch eine neue Verfassung ersetzt werden?
Sozialpolitik,"Sollten Sozialprogramme für arme und arbeitslose Bürger*innen ausgebaut werden, auch wenn dies die Staatsverschuldung erhöht?"
Ordnung,Soll die öffentliche Ordnung durch verstärkte Polizeipräsenz gesichert werden?
Handel,Soll der Außenhandel zugunsten der deutschen Wirtschaft eingeschränkt werden?
Kulturpolitik,Soll der Staat den kulturellen Einfluss von Minderheiten in Deutschland begrenzen?
Außenpolitik,Soll Deutschland einen Austritt aus dem Völkerbund erwägen?
