Partei_kurz:;"APPD"
Partei_lang:;"Appelpartei Deutschlands"
Partei_Beschreibung:;"Die Apfelpartei steht seit vielen Jahren für alle Angelegenheiten des Apfels. &#x1F464; &#8203; &#8206; <span data-email='info@appelpartei.de'></span> <span data-filterid='&#x1F464; &#8203; &#8206;'></span>"
Partei_URL:;"https://www.appelpartei.ap"
Partei_Bild:;"data/appel2.jpg"
-1;"Gelb ist keine schöne Farbe. Rot ist viel besser!"
1;"Runde Früchte sind am besten!"
1;"Volle Zustimmung!"
0;"Ist uns ziemlich egal."
1;"Ja, Früchte sollen am Baum bleiben, bis sie reif sind."
1;"Ja, süße Früchte sind toll."
-1;"Gelb ist keine schöne Farbe. Rot ist viel besser!"
1;"Runde Früchte sind am besten!"
1;"Volle Zustimmung!"
0;"Ist uns ziemlich egal."
1;"Ja, Früchte sollen am Baum bleiben, bis sie reif sind."
1;"Ja, süße Früchte sind toll."
-1;"Gelb ist keine schöne Farbe. Rot ist viel besser!"
1;"Runde Früchte sind am besten!"
1;"Volle Zustimmung!"
0;"Ist uns ziemlich egal."
1;"Ja, Früchte sollen am Baum bleiben, bis sie reif sind."
1;"Ja, süße Früchte sind toll."
-1;"Gelb ist keine schöne Farbe. Rot ist viel besser!"
1;"Runde Früchte sind am besten!"
1;"Volle Zustimmung!"
0;"Ist uns ziemlich egal."
1;"Ja, Früchte sollen am Baum bleiben, bis sie reif sind."
1;"Ja, süße Früchte sind toll."
#Partei_kurz:;"SED"
Partei_lang:;"Appelpartei Deutschlands"
Partei_Beschreibung:;"Die Apfelpartei steht seit vielen Jahren für alle Angelegenheiten des Apfels. &#x1F464; &#8203; &#8206; <span data-email='info@appelpartei.de'></span> <span data-filterid='&#x1F464; &#8203; &#8206;'></span>"
Partei_URL:;"https://www.appelpartei.ap"
Partei_Bild:;"data/appel2.jpg"
-1;"Gelb ist keine schöne Farbe. Rot ist viel besser!"
1;"Runde Früchte sind am besten!"
1;"Volle Zustimmung!"
0;"Ist uns ziemlich egal."
1;"Ja, Früchte sollen am Baum bleiben, bis sie reif sind."
1;"Ja, süße Früchte sind toll."
-1;"Gelb ist keine schöne Farbe. Rot ist viel besser!"
1;"Runde Früchte sind am besten!"
1;"Volle Zustimmung!"
0;"Ist uns ziemlich egal."
1;"Ja, Früchte sollen am Baum bleiben, bis sie reif sind."
1;"Ja, süße Früchte sind toll."
-1;"Gelb ist keine schöne Farbe. Rot ist viel besser!"
1;"Runde Früchte sind am besten!"
1;"Volle Zustimmung!"
0;"Ist uns ziemlich egal."
1;"Ja, Früchte sollen am Baum bleiben, bis sie reif sind."
1;"Ja, süße Früchte sind toll."
-1;"Gelb ist keine schöne Farbe. Rot ist viel besser!"
1;"Runde Früchte sind am besten!"
1;"Volle Zustimmung!"
0;"Ist uns ziemlich egal."
1;"Ja, Früchte sollen am Baum bleiben, bis sie reif sind."
1;"Ja, süße Früchte sind toll."
#Partei_kurz:;"HSP"
Partei_lang:;"Appelpartei Deutschlands"
Partei_Beschreibung:;"Die Apfelpartei steht seit vielen Jahren für alle Angelegenheiten des Apfels. &#x1F464; &#8203; &#8206; <span data-email='info@appelpartei.de'></span> <span data-filterid='&#x1F464; &#8203; &#8206;'></span>"
Partei_URL:;"https://www.appelpartei.ap"
Partei_Bild:;"data/appel2.jpg"
-1;"Gelb ist keine schöne Farbe. Rot ist viel besser!"
1;"Runde Früchte sind am besten!"
1;"Volle Zustimmung!"
0;"Ist uns ziemlich egal."
1;"Ja, Früchte sollen am Baum bleiben, bis sie reif sind."
1;"Ja, süße Früchte sind toll."
-1;"Gelb ist keine schöne Farbe. Rot ist viel besser!"
1;"Runde Früchte sind am besten!"
1;"Volle Zustimmung!"
0;"Ist uns ziemlich egal."
1;"Ja, Früchte sollen am Baum bleiben, bis sie reif sind."
1;"Ja, süße Früchte sind toll."
-1;"Gelb ist keine schöne Farbe. Rot ist viel besser!"
1;"Runde Früchte sind am besten!"
1;"Volle Zustimmung!"
0;"Ist uns ziemlich egal."
1;"Ja, Früchte sollen am Baum bleiben, bis sie reif sind."
1;"Ja, süße Früchte sind toll."
-1;"Gelb ist keine schöne Farbe. Rot ist viel besser!"
1;"Runde Früchte sind am besten!"
1;"Volle Zustimmung!"
0;"Ist uns ziemlich egal."
1;"Ja, Früchte sollen am Baum bleiben, bis sie reif sind."
1;"Ja, süße Früchte sind toll."
#Partei_kurz:;"Rentner Partei"
Partei_lang:;"Appelpartei Deutschlands"
